country,period_start,region,age_group,gender,income_level,sales,gross_margin_pct,profit_margin_pct
UK,2024-01-31,North,18-24,Female,Low,16949.7773594529,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,18-24,Female,Medium,5236.328022257677,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,18-24,Female,High,88001.33960256359,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,18-24,Male,Low,85414.60894688906,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,18-24,Male,Medium,189268.05438611153,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,18-24,Male,High,4803.596917113536,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,18-24,Other,Low,63400.054916906345,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,18-24,Other,Medium,4266.991005707304,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,18-24,Other,High,65972.42582749341,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,25-34,Female,Low,104882.81652666272,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,25-34,Female,Medium,23437.86623308915,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,25-34,Female,High,74608.75199519302,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,25-34,Male,Low,9315.49538618446,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,25-34,Male,Medium,5547.698254579121,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,25-34,Male,High,19093.375019582563,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,25-34,Other,Low,54594.134434005595,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,25-34,Other,Medium,25018.414048052196,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,25-34,Other,High,75565.92431484527,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,35-44,Female,Low,13544.12820162691,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,35-44,Female,Medium,111343.18283289009,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,35-44,Female,High,74336.1567294547,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,35-44,Male,Low,39727.754303901704,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,35-44,Male,Medium,25266.873084946943,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,35-44,Male,High,27461.84638127449,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,35-44,Other,Low,4669.28929388859,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,35-44,Other,Medium,10882.018785445443,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,35-44,Other,High,41516.319295627785,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,45-54,Female,Low,23546.025440416135,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,45-54,Female,Medium,76584.925244145,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,45-54,Female,High,42919.95523687228,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,45-54,Male,Low,14413.659959377332,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,45-54,Male,Medium,27932.466551588088,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,45-54,Male,High,38865.13861524654,0.5480007946879752,0.10251353587419372
UK,2024-01-31,North,45-54,Other,Low,20829.227530748754,0.5480007946879752,0.10251353587419372
