Region,Month,Level,Level_ID,Level_Name,Age_Group,Gender,Income_Bracket,Ethnicity,Count,Notes
UK,2025-03,Brand,Dune,Dune,,,,,,
UK,2025-04,Brand,Dune,Dune,,,,,,
UK,2025-05,Brand,Dune,Dune,,,,,,
UK,2025-06,Brand,Dune,Dune,,,,,,
UK,2025-07,Brand,Dune,Dune,,,,,,
UK,2025-08,Brand,Dune,Dune,,,,,,
UK,2025-09,Brand,Dune,Dune,,,,,,
UK,2025-10,Brand,Dune,Dune,,,,,,
UK,2025-11,Brand,Dune,Dune,,,,,,
UK,2025-12,Brand,Dune,Dune,,,,,,
UK,2026-01,Brand,Dune,Dune,,,,,,
UK,2026-02,Brand,Dune,Dune,,,,,,
